Page	Section	Component	Property	Current Color	Current Hex	Real UI Color Name	Real UI Hex	Status	Visible On (tabs)
Transactions	Checklist Popover (hover on CHECKLIST)	Optional label text	Text color	color: rgb(62, 63, 60)	#3E3F3C	real-grey-900	#3D3C3C	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Due date text	Text color	color: rgb(161, 161, 170)	#A1A1AA	slate-400	#94A3B8	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Revision Requested badge background	Background color	background-color: rgb(254, 242, 245)	#FEF2F5	real-red-50	#FFF2F2	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Revision Requested badge text	Text color	color: rgb(248, 76, 108)	#F84C6C	real-red-500	#F74D6B	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Revision Requested badge icon	Icon color	fill: rgb(248, 76, 108)	#F84C6C	real-red-500	#F74D6B	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Accepted badge background	Background color	background-color: rgb(233, 248, 241)	#E9F8F1	real-green-50	#F1F8F4	Mapped to closest	
Transactions	Checklist Popover (hover on CHECKLIST)	Accepted badge text	Text color	color: rgb(67, 151, 117)	#439775	real-green-500	#439775	100% Match	
Transactions	Checklist Popover (hover on CHECKLIST)	Accepted badge icon	Icon color	fill: rgb(67, 151, 117)	#439775	real-green-500	#439775	100% Match	
Transactions	Requires Attention Popover (hover on alert icon)	Popover background	Background color	background-color: rgb(255, 255, 255)	#FFFFFF	white	#FFFFFF	100% Match	
Transactions	Requires Attention Popover (hover on alert icon)	Header bottom border	Border color	border-color: rgb(238, 238, 238)	#EEEEEE	real-green-50	#F1F8F4	Mapped to closest	
Transactions	Requires Attention Popover (hover on alert icon)	Alert icon	Icon color	fill: rgb(248, 76, 108)	#F84C6C	real-red-500	#F74D6B	Mapped to closest	
Transactions	Requires Attention Popover (hover on alert icon)	Heading text	Text color	color: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Requires Attention Popover (hover on alert icon)	Body text	Text color	color: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Compliance Verified Tooltip (hover on green check)	Tooltip background	Background color	background-color: rgb(255, 255, 255)	#FFFFFF	white	#FFFFFF	100% Match	
Transactions	Compliance Verified Tooltip (hover on green check)	Tooltip border	Border color	border-color: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Compliance Verified Tooltip (hover on green check)	Tooltip text	Text color	color: rgb(0, 0, 0)	#000000	black	#000000	100% Match	
Transactions	Power Audit Tooltip (hover on lightning icon)	Tooltip background	Background color	background-color: rgb(255, 255, 255)	#FFFFFF	white	#FFFFFF	100% Match	
Transactions	Power Audit Tooltip (hover on lightning icon)	Tooltip border	Border color	border-color: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Power Audit Tooltip (hover on lightning icon)	Tooltip text	Text color	color: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Hover States (generic)	Generic button hover bg (variant A)	Background color (hover)	background-color: rgb(248, 248, 248)	#F8F8F8	real-grey-50	#F6F5F5	Mapped to closest	
Transactions	Hover States (generic)	Pagination button hover bg	Background color (hover)	background-color: rgb(246, 248, 252)	#F6F8FC	real-seaglass-50	#F2F9F9	Mapped to closest	
